title,canteen_id,price,comment
Vadapav,1,25,most popular items across canteens
Chai,1,10,most popular items across canteens
Cold Drink,1,20,most popular items across canteens
Manchurian,1,60,most popular items across canteens
Sp.Cofee,1,40,most popular items across canteens
Masala Dosa,1,25,most popular items across canteens
Noodles,1,80,most popular items across canteens
Chole,1,30,most popular items across canteens
Gujarati Thali,1,30,most popular items across canteens
Cofee,1,30,most popular items across canteens
